date,season,month
4/9/2021,Spring,April
4/10/2021,Spring,April
4/11/2021,Spring,April
4/12/2021,Spring,April
4/13/2021,Spring,April
4/14/2021,Spring,April
4/15/2021,Spring,April
4/16/2021,Spring,April
4/17/2021,Spring,April
4/18/2021,Spring,April
4/19/2021,Spring,April
4/20/2021,Spring,April
4/21/2021,Spring,April
4/22/2021,Spring,April
4/23/2021,Spring,April
4/24/2021,Spring,April
4/25/2021,Spring,April
4/26/2021,Spring,April
4/27/2021,Spring,April
4/28/2021,Spring,April
4/29/2021,Spring,April
4/30/2021,Spring,April
5/1/2021,Spring,May
5/2/2021,Spring,May
5/3/2021,Spring,May
5/4/2021,Spring,May
5/5/2021,Spring,May
5/6/2021,Spring,May
5/7/2021,Spring,May
5/8/2021,Spring,May
5/9/2021,Spring,May
5/10/2021,Spring,May
5/11/2021,Spring,May
5/12/2021,Spring,May
5/13/2021,Spring,May
5/14/2021,Spring,May
5/15/2021,Spring,May
5/16/2021,Spring,May
5/17/2021,Spring,May
5/18/2021,Spring,May
5/19/2021,Spring,May
5/20/2021,Spring,May
5/21/2021,Spring,May
5/22/2021,Spring,May
5/23/2021,Spring,May
5/24/2021,Spring,May
5/25/2021,Spring,May
5/26/2021,Spring,May
5/27/2021,Spring,May
5/28/2021,Spring,May
5/29/2021,Spring,May
5/30/2021,Spring,May
5/31/2021,Spring,May
6/1/2021,Spring,June
6/2/2021,Spring,June
6/3/2021,Spring,June
6/4/2021,Spring,June
6/5/2021,Spring,June
6/6/2021,Spring,June
6/7/2021,Spring,June
6/8/2021,Spring,June
6/9/2021,Spring,June
6/10/2021,Spring,June
6/11/2021,Spring,June
6/12/2021,Spring,June
6/13/2021,Spring,June
6/14/2021,Spring,June
6/15/2021,Spring,June
6/16/2021,Spring,June
6/17/2021,Spring,June
6/18/2021,Spring,June
6/19/2021,Spring,June
6/20/2021,Spring,June
6/21/2021,Summer,June
6/22/2021,Summer,June
6/23/2021,Summer,June
6/24/2021,Summer,June
6/25/2021,Summer,June
6/26/2021,Summer,June
6/27/2021,Summer,June
6/28/2021,Summer,June
6/29/2021,Summer,June
6/30/2021,Summer,June
7/1/2021,Summer,July
7/2/2021,Summer,July
7/3/2021,Summer,July
7/4/2021,Summer,July
7/5/2021,Summer,July
7/6/2021,Summer,July
7/7/2021,Summer,July
7/8/2021,Summer,July
7/9/2021,Summer,July
7/10/2021,Summer,July
7/11/2021,Summer,July
7/12/2021,Summer,July
7/13/2021,Summer,July
7/14/2021,Summer,July
7/15/2021,Summer,July
7/16/2021,Summer,July
7/17/2021,Summer,July
7/18/2021,Summer,July
7/19/2021,Summer,July
7/20/2021,Summer,July
7/21/2021,Summer,July
7/22/2021,Summer,July
7/23/2021,Summer,July
7/24/2021,Summer,July
7/25/2021,Summer,July
7/26/2021,Summer,July
7/27/2021,Summer,July
7/28/2021,Summer,July
7/29/2021,Summer,July
7/30/2021,Summer,July
7/31/2021,Summer,July
8/1/2021,Summer,August
8/2/2021,Summer,August
8/3/2021,Summer,August
8/4/2021,Summer,August
8/5/2021,Summer,August
8/6/2021,Summer,August
8/7/2021,Summer,August
8/8/2021,Summer,August
8/9/2021,Summer,August
8/10/2021,Summer,August
8/11/2021,Summer,August
8/12/2021,Summer,August
8/13/2021,Summer,August
8/14/2021,Summer,August
8/15/2021,Summer,August
8/16/2021,Summer,August
8/17/2021,Summer,August
8/18/2021,Summer,August
8/19/2021,Summer,August
8/20/2021,Summer,August
8/21/2021,Summer,August
8/22/2021,Summer,August
8/23/2021,Summer,August
8/24/2021,Summer,August
8/25/2021,Summer,August
8/26/2021,Summer,August
8/27/2021,Summer,August
8/28/2021,Summer,August
8/29/2021,Summer,August
8/30/2021,Summer,August
8/31/2021,Summer,August
9/1/2021,Summer,September
9/2/2021,Summer,September
9/3/2021,Summer,September
9/4/2021,Summer,September
9/5/2021,Summer,September
9/6/2021,Summer,September
9/7/2021,Summer,September
9/8/2021,Summer,September
9/9/2021,Summer,September
9/10/2021,Summer,September
9/11/2021,Summer,September
9/12/2021,Summer,September
9/13/2021,Summer,September
9/14/2021,Summer,September
9/15/2021,Summer,September
9/16/2021,Summer,September
9/17/2021,Summer,September
9/18/2021,Summer,September
9/19/2021,Summer,September
9/20/2021,Summer,September
9/21/2021,Fall,September
9/22/2021,Fall,September
9/23/2021,Fall,September
9/24/2021,Fall,September
9/25/2021,Fall,September
9/26/2021,Fall,September
9/27/2021,Fall,September
9/28/2021,Fall,September
9/29/2021,Fall,September
9/30/2021,Fall,September
10/1/2021,Fall,October
10/2/2021,Fall,October
10/3/2021,Fall,October
10/4/2021,Fall,October
10/5/2021,Fall,October
10/6/2021,Fall,October
10/7/2021,Fall,October
10/8/2021,Fall,October
10/9/2021,Fall,October
10/10/2021,Fall,October
10/11/2021,Fall,October
10/12/2021,Fall,October
10/13/2021,Fall,October
10/14/2021,Fall,October
10/15/2021,Fall,October
10/16/2021,Fall,October
10/17/2021,Fall,October
10/18/2021,Fall,October
10/19/2021,Fall,October
10/20/2021,Fall,October
10/21/2021,Fall,October
10/22/2021,Fall,October
10/23/2021,Fall,October
10/24/2021,Fall,October
10/25/2021,Fall,October
10/26/2021,Fall,October
10/27/2021,Fall,October
10/28/2021,Fall,October
10/29/2021,Fall,October
10/30/2021,Fall,October
10/31/2021,Fall,October
11/1/2021,Fall,November
11/2/2021,Fall,November
11/3/2021,Fall,November
11/4/2021,Fall,November
11/5/2021,Fall,November
11/6/2021,Fall,November
11/7/2021,Fall,November
11/8/2021,Fall,November
11/9/2021,Fall,November
11/10/2021,Fall,November
11/11/2021,Fall,November
11/12/2021,Fall,November
11/13/2021,Fall,November
11/14/2021,Fall,November
11/15/2021,Fall,November
11/16/2021,Fall,November
11/17/2021,Fall,November
11/18/2021,Fall,November
11/19/2021,Fall,November
11/20/2021,Fall,November
11/21/2021,Fall,November
11/22/2021,Fall,November
11/23/2021,Fall,November
11/24/2021,Fall,November
11/25/2021,Fall,November
11/26/2021,Fall,November
11/27/2021,Fall,November
11/28/2021,Fall,November
11/29/2021,Fall,November
11/30/2021,Fall,November
12/1/2021,Fall,December
12/2/2021,Fall,December
12/3/2021,Fall,December
12/4/2021,Fall,December
12/5/2021,Fall,December
12/6/2021,Fall,December
12/7/2021,Fall,December
12/8/2021,Fall,December
12/9/2021,Fall,December
12/10/2021,Fall,December
12/11/2021,Fall,December
12/12/2021,Fall,December
12/13/2021,Fall,December
12/14/2021,Fall,December
12/15/2021,Fall,December
12/16/2021,Fall,December
12/17/2021,Fall,December
12/18/2021,Fall,December
12/19/2021,Fall,December
12/20/2021,Fall,December
12/21/2021,Winter,December
12/22/2021,Winter,December
12/23/2021,Winter,December
12/24/2021,Winter,December
12/25/2021,Winter,December
12/26/2021,Winter,December
12/27/2021,Winter,December
12/28/2021,Winter,December
12/29/2021,Winter,December
12/30/2021,Winter,December
12/31/2021,Winter,December
